wl,n,k
1.456,4.44486,3.79E-02
1.458,4.44483,3.77E-02
1.46,4.4448,3.75E-02
1.462,4.44478,3.73E-02
1.464,4.44475,3.71E-02
1.466,4.44472,3.69E-02
1.468,4.44473,3.67E-02
1.47,4.44476,3.64E-02
1.472,4.44479,3.61E-02
1.474,4.44482,3.58E-02
1.476,4.44485,3.55E-02
1.478,4.44483,3.53E-02
1.48,4.44469,3.52E-02
1.482,4.44456,3.50E-02
1.484,4.44443,3.49E-02
1.486,4.44429,3.47E-02
1.488,4.44416,3.46E-02
1.49,4.44375,3.45E-02
1.492,4.4433,3.45E-02
1.494,4.44284,3.44E-02
1.496,4.44238,3.44E-02
1.498,4.44193,3.43E-02
1.5,4.44133,3.43E-02
1.502,4.44049,3.41E-02
1.504,4.43964,3.40E-02
1.506,4.4388,3.39E-02
1.508,4.43796,3.38E-02
1.51,4.43712,3.36E-02
1.512,4.43601,3.34E-02
1.514,4.43485,3.32E-02
1.516,4.4337,3.29E-02
1.518,4.43254,3.27E-02
1.52,4.43139,3.24E-02
1.522,4.43021,3.22E-02
1.524,4.42896,3.19E-02
1.526,4.42771,3.17E-02
1.528,4.42646,3.15E-02
1.53,4.42522,3.13E-02
1.532,4.42397,3.11E-02
1.534,4.42278,3.10E-02
1.536,4.42163,3.09E-02
1.538,4.42047,3.09E-02
1.54,4.41932,3.08E-02
1.542,4.41816,3.08E-02
1.544,4.41701,3.07E-02
1.546,4.41593,3.05E-02
1.548,4.41485,3.03E-02
1.55,4.41376,3.00E-02
1.552,4.41268,2.98E-02
1.554,4.4116,2.96E-02
1.556,4.41059,2.94E-02
1.558,4.4097,2.93E-02
1.56,4.40881,2.93E-02
1.562,4.40792,2.92E-02
1.564,4.40703,2.91E-02
1.566,4.40614,2.90E-02
1.568,4.40525,2.89E-02
1.57,4.40438,2.88E-02
1.572,4.4035,2.86E-02
1.574,4.40262,2.85E-02
1.576,4.40174,2.84E-02
1.578,4.40087,2.83E-02
1.58,4.39993,2.81E-02
1.582,4.39899,2.80E-02
1.584,4.39804,2.78E-02
1.586,4.3971,2.76E-02
1.588,4.39615,2.75E-02
1.59,4.39521,2.73E-02
1.592,4.39427,2.72E-02
1.594,4.39334,2.70E-02
1.596,4.3924,2.68E-02
1.598,4.39146,2.67E-02
1.6,4.39053,2.65E-02
1.602,4.3896,2.64E-02
1.604,4.38874,2.62E-02
1.606,4.38788,2.61E-02
1.608,4.38702,2.59E-02
1.61,4.38616,2.58E-02
1.612,4.3853,2.56E-02
1.614,4.38448,2.55E-02
1.616,4.38377,2.55E-02
1.618,4.38306,2.54E-02
1.62,4.38235,2.54E-02
1.622,4.38164,2.54E-02
1.624,4.38093,2.53E-02
1.626,4.38023,2.52E-02
1.628,4.37956,2.52E-02
1.63,4.37889,2.51E-02
1.632,4.37821,2.50E-02
1.634,4.37754,2.49E-02
1.636,4.37687,2.48E-02
1.638,4.37619,2.47E-02
1.64,4.37548,2.45E-02
1.642,4.37477,2.44E-02
1.644,4.37406,2.43E-02
1.646,4.37335,2.42E-02
1.648,4.37264,2.40E-02
1.65,4.37192,2.39E-02
1.652,4.37116,2.38E-02
1.654,4.37041,2.38E-02
1.656,4.36965,2.37E-02
1.658,4.3689,2.36E-02
1.66,4.36814,2.35E-02
1.662,4.36737,2.34E-02
1.664,4.36653,2.32E-02
1.666,4.36569,2.29E-02
1.668,4.36485,2.27E-02
1.67,4.36401,2.25E-02
1.672,4.36317,2.23E-02
1.674,4.36235,2.21E-02
1.676,4.36166,2.21E-02
1.678,4.36098,2.21E-02
1.68,4.36029,2.21E-02
1.682,4.3596,2.21E-02
1.684,4.35892,2.21E-02
1.686,4.35823,2.21E-02
1.688,4.3575,2.18E-02
1.69,4.35677,2.16E-02
1.692,4.35604,2.13E-02
1.694,4.35531,2.10E-02
1.696,4.35457,2.07E-02
1.698,4.35384,2.05E-02
1.7,4.35322,2.04E-02
1.702,4.35264,2.05E-02
1.704,4.35206,2.05E-02
1.706,4.35148,2.06E-02
1.708,4.3509,2.06E-02
1.71,4.35032,2.06E-02
1.712,4.34971,2.06E-02
1.714,4.34907,2.05E-02
1.716,4.34842,2.05E-02
1.718,4.34777,2.04E-02
1.72,4.34712,2.03E-02
1.722,4.34648,2.02E-02
1.724,4.34581,2.01E-02
1.726,4.34505,1.99E-02
1.728,4.34429,1.98E-02
1.73,4.34352,1.96E-02
1.732,4.34276,1.95E-02
1.734,4.342,1.93E-02
1.736,4.34124,1.91E-02
1.738,4.34041,1.90E-02
1.74,4.33957,1.89E-02
1.742,4.33873,1.88E-02
1.744,4.33789,1.87E-02
1.746,4.33705,1.86E-02
1.748,4.33621,1.85E-02
1.75,4.33533,1.84E-02
1.752,4.33441,1.85E-02
1.754,4.33349,1.85E-02
1.756,4.33257,1.85E-02
1.758,4.33165,1.85E-02
1.76,4.33074,1.85E-02
1.762,4.32982,1.86E-02
1.764,4.32879,1.83E-02
1.766,4.32776,1.81E-02
1.768,4.32672,1.78E-02
1.77,4.32569,1.75E-02
1.772,4.32466,1.73E-02
1.774,4.32363,1.70E-02
1.776,4.32273,1.69E-02
1.778,4.32196,1.70E-02
1.78,4.32119,1.71E-02
1.782,4.32042,1.72E-02
1.784,4.31965,1.73E-02
1.786,4.31888,1.74E-02
1.788,4.31811,1.76E-02
1.79,4.31782,1.70E-02
1.792,4.31754,1.65E-02
1.794,4.31727,1.59E-02
1.796,4.317,1.54E-02
1.798,4.31673,1.48E-02
1.8,4.31645,1.43E-02
1.802,4.31647,1.38E-02
1.804,4.31698,1.34E-02
1.806,4.31749,1.30E-02
1.808,4.318,1.26E-02
1.81,4.31852,1.21E-02
1.812,4.31903,1.17E-02
1.814,4.31954,1.13E-02
1.816,4.32049,1.12E-02
1.818,4.3216,1.12E-02
1.82,4.32271,1.11E-02
1.822,4.32382,1.11E-02
1.824,4.32493,1.11E-02
1.826,4.32604,1.10E-02
1.828,4.32714,1.10E-02
1.83,4.32819,1.10E-02
1.832,4.32923,1.09E-02
1.834,4.33027,1.09E-02
1.836,4.33131,1.09E-02
1.838,4.33235,1.08E-02
1.84,4.33339,1.08E-02
1.842,4.33423,1.07E-02
1.844,4.33461,1.07E-02
1.846,4.33499,1.07E-02
1.848,4.33537,1.06E-02
1.85,4.33575,1.06E-02
1.852,4.33614,1.06E-02
1.854,4.33652,1.06E-02
1.856,4.33648,1.05E-02
1.858,4.33608,1.05E-02
1.86,4.33567,1.05E-02
1.862,4.33527,1.05E-02
1.864,4.33486,1.04E-02
1.866,4.33446,1.04E-02
1.868,4.33405,1.04E-02
1.87,4.33333,1.04E-02
1.872,4.33247,1.03E-02
1.874,4.33161,1.02E-02
1.876,4.33075,1.01E-02
1.878,4.3299,1.01E-02
1.88,4.32904,1.00E-02
1.882,4.32818,9.93E-03
1.884,4.32727,9.86E-03
1.886,4.32635,9.80E-03
1.888,4.32543,9.73E-03
1.89,4.32451,9.67E-03
1.892,4.32359,9.60E-03
1.894,4.32267,9.54E-03
1.896,4.32176,9.47E-03
1.898,4.32091,9.39E-03
1.9,4.32009,9.30E-03
1.902,4.31926,9.21E-03
1.904,4.31843,9.12E-03
1.906,4.3176,9.04E-03
1.908,4.31677,8.95E-03
1.91,4.31594,8.86E-03
1.912,4.31522,8.77E-03
1.914,4.31451,8.67E-03
1.916,4.31381,8.58E-03
1.918,4.31311,8.49E-03
1.92,4.3124,8.39E-03
1.922,4.3117,8.30E-03
1.924,4.31099,8.20E-03
1.926,4.31041,8.10E-03
1.928,4.30984,7.99E-03
1.93,4.30928,7.88E-03
1.932,4.30871,7.78E-03
1.934,4.30815,7.67E-03
1.936,4.30759,7.56E-03
1.938,4.30702,7.46E-03
1.94,4.30655,7.36E-03
1.942,4.30611,7.27E-03
1.944,4.30567,7.17E-03
1.946,4.30523,7.07E-03
1.948,4.30479,6.98E-03
1.95,4.30435,6.88E-03
1.952,4.30391,6.79E-03
1.954,4.3035,6.71E-03
1.956,4.30312,6.64E-03
1.958,4.30274,6.57E-03
1.96,4.30235,6.50E-03
1.962,4.30197,6.43E-03
1.964,4.30158,6.36E-03
1.966,4.3012,6.29E-03
1.968,4.30082,6.21E-03
1.97,4.30046,6.13E-03
1.972,4.30009,6.05E-03
1.974,4.29973,5.97E-03
1.976,4.29936,5.88E-03
1.978,4.299,5.80E-03
1.98,4.29864,5.72E-03
1.982,4.29827,5.64E-03
1.984,4.29791,5.58E-03
1.986,4.29755,5.52E-03
1.988,4.29718,5.46E-03
1.99,4.29682,5.40E-03
1.992,4.29646,5.34E-03
1.994,4.2961,5.27E-03
1.996,4.29573,5.21E-03
1.998,4.29537,5.15E-03
2,4.295,5.09E-03
2.002,4.29464,5.03E-03
2.004,4.29427,4.97E-03
2.006,4.29391,4.91E-03
2.008,4.29354,4.85E-03
2.01,4.29318,4.79E-03
2.012,4.29281,4.73E-03
2.014,4.29245,4.67E-03
2.016,4.29209,4.61E-03
2.018,4.29173,4.54E-03
2.02,4.29137,4.48E-03
2.022,4.29101,4.42E-03
2.024,4.29065,4.36E-03
2.026,4.2903,4.30E-03
2.028,4.28995,4.25E-03
2.03,4.2896,4.20E-03
2.032,4.28926,4.16E-03
2.034,4.28891,4.11E-03
2.036,4.28857,4.07E-03
2.038,4.28822,4.02E-03
2.04,4.28787,3.97E-03
2.042,4.28755,3.93E-03
2.044,4.28723,3.88E-03
2.046,4.28692,3.83E-03
2.048,4.28661,3.79E-03
2.05,4.28629,3.74E-03
2.052,4.28598,3.70E-03
2.054,4.28566,3.65E-03
2.056,4.28535,3.60E-03
2.058,4.28505,3.57E-03
2.06,4.28476,3.53E-03
2.062,4.28446,3.50E-03
2.064,4.28417,3.46E-03
2.066,4.28387,3.43E-03
2.068,4.28357,3.39E-03
2.07,4.28328,3.36E-03
2.072,4.28298,3.33E-03
2.074,4.28268,3.30E-03
2.076,4.28239,3.27E-03
2.078,4.28209,3.25E-03
2.08,4.2818,3.22E-03
2.082,4.2815,3.19E-03
2.084,4.2812,3.16E-03
2.086,4.28091,3.14E-03
2.088,4.28061,3.10E-03
2.09,4.28031,3.06E-03
2.092,4.28,3.02E-03
2.094,4.2797,2.98E-03
2.096,4.2794,2.95E-03
2.098,4.2791,2.91E-03
2.1,4.2788,2.87E-03
2.102,4.2785,2.83E-03
2.104,4.2782,2.81E-03
2.106,4.2779,2.78E-03
2.108,4.27759,2.76E-03
2.11,4.27729,2.73E-03
2.112,4.27699,2.71E-03
2.114,4.27669,2.68E-03
2.116,4.27638,2.66E-03
2.118,4.27608,2.63E-03
2.12,4.27577,2.60E-03
